编号	是什么	为什么	出处	何时消除
D152	⚠️ **尚未复刻（卡组编辑页 · Decks 页底部）：宣传插图本体**（本行 = 替换既有 `D152` 行的文本，条件不变、只是把「对应元件 = `<? 2769>`」改掉） —— 原版 `07` 在底行（y1174.8..1277.4@1080）之下是一整张**预渲染的宣传插图**（左：国王立绘 + 带金冠与「11」的石台；右：一张卡，卡内烘死 `level 11` / `1/50`；整体铺在竖向渐变蓝底上），配两行大标题「百張卡牌 / 組建牌組」。本工程已把版式（底板块位置/高/底色 + 两行标题的位置与读法）按量取落地，**插图本体没有落地**。**★ art-sweep 两通道穷举（2026-09-26，离线）复核：仍 BLOCKED，且本行原写的「`.sc` 里对应元件是无名 `<? 2769>`」被推翻**	① 插图**不在** `.sc` 的显示表里：`card_page_deck_special`（clip 4418）整棵子树 = 19 个 shape（渐变块 frame_537 / 三根黑竖条 372,373,374 / 圣水图标 404 / 金币钮 033,034,292 / 随机钮 538,539 … **全是已辨认的小件**）+ 4 个 clip + 8 个 kind=`?` 元件，而这 8 个 `?` 元件**逐个验 tag 全部是 `0x19` TextField（文本框）** —— 其中 `<? 2769>`(y=651.8) / `<? 2774>`(y=667) payload 里**只有字体名 `Supercell-Magic` + 文本 id，没有任何图形数据** ⇒ 它们是**文本**，本行原写「对应元件 = `<? 2769>`」是**把文本框当成了图元**。② 名字侧没有该类元件：`原版资源/sc/` **全量 89 个 `.sc`** 的内嵌名字表按前缀族穷举（card_page / deck / special / banner / promo / illustration / illustr / poster / splash / artwork / campaign / card_back）⇒ 卡组页只有 4 个自身导出名（`card_page_collection` / `card_page_deck_special` / `full_page_button_tab_special` / `promote_button`），**没有任何宣传插图类元件**；`banner` 只有一处且属 2v2 挑战气泡。③ 尺寸侧装不下：`07` 宣传区折成设计像素约 **1080×615**，而 `ui_out` **除 276 号无缝底纹外最大的一帧只有 800×527**（`483`/`482` = 同一幅「全员角色群像」的左右两半，与参考图内容不符）——全树 **20931 帧 / 89 目录**逐帧 alpha bbox 实测。④ 像素通道也不成立：逐通道 NCC（滑窗 + 尺度扫掠，池 = 7 个 UI 图集 **546 帧**）**正控**把已知帧种进合成窗口读回 **1.0000 @ 种植坐标 PASS**，而实测前 6 名是 `ui_arena_out/34` 0.9736 / `ui_arena_out/50` 0.9693（**同址并列**）/ `ui_chest_out/182` 0.9460 … —— 并排图目视是**竞技场盾徽 / 宝箱图标**，与参考图该位置无关 ⇒ 前两名差 0.004、并列、肉眼即证伪，判据「≥0.8 且唯一显著」不成立（宣传区大面积平滑渐变，平滑件之间 NCC 天然偏高）	通道 A：`.ai-tmp/test/art-sweep-names-sc-deck.txt`（全量名字穷举原始输出）、`.ai-tmp/test/art-sweep/subtree-deck.tsv`（子树展平 31 元件）、`.ai-tmp/test/art-sweep-scobj.py` + `art-sweep-dump-obj.py`（objectId→tag 真表 + payload hexdump：2769/2774 = `0x19`）；尺寸：`.ai-tmp/test/art-sweep/bbox-all.tsv`（20931 帧逐帧 alpha bbox）；通道 B：`.ai-tmp/test/art-sweep-d152-match.py`（正控 PASS）、排名 `art-sweep/d152-match.tsv`、并排图 `art-sweep/d152-match-side.png`、原始日志 `art-sweep/d152-match-log2.txt`；参考区量取 = `策划/参考图/几何量取.md` §1.6.6 E54–E58 + `art-sweep/d152-ref-region.png`	拿到该宣传插图的**原版素材本体**（原版 APK 的 `assets/image/` 一族宣传图；本机 `cr-assets-png/assets/image/` 只有 `icon_wechat_200x200.png` / `range.png` 两张，README 载该 dump = `find assets -name '*.png'`，故确无这一类）
D153	⚠️ **本项目自定（卡组编辑页 · 底行右侧三颗工具钮的**图标**）** —— 版式已按原版实测落地（`BottomBtnX0` / `BottomBtnW` / `BottomBtnPitch`，E61–E63；圆角 25@1242、深边 4px `#002075`、顶亮线 `#62B4E2`，E69），但**第 ② ③ 颗的图标本工程没有对应图元**：原版是「卡片+盾牌」（卡组视图）与「三横线」（菜单），本工程在图集里**找不到**这两件（`策划/原版UI素材索引.md` 的 914 帧里按画貌搜索"三横/汉堡/列表/盾牌+卡"**无命中**，9 帧未识别件里也没有），故 ②③ 用**文字占位**（「保 存」/「取 消」）而不是画两个假图标。**★ 实机复核（cr-machine，2026-09-25 12:41 帧 `AX1-01-deck-open.png` / 1080x1920）**：底行 = 放大镜（原版图元 `ui_out` 279）+ 「保存」「取消」两颗文字钮，无假图标。	① 原版那两颗钮对应的功能（卡组视图 / 菜单）本工程**没有实现**，按"不画假按钮"原则不放装饰图标；② ⛔ 不从参考图里抠图当素材（工程铁律），⛔ 也不拿别的帧冒充（"看着像"不算出处）。	量取 = `策划/参考图/几何量取.md` §1.6.8 **E61–E63（三钮 x/宽/步进）与 E69（钮板圆角 25@1242、深边 `#002075` 4px、顶亮线 `#62B4E2`、填充 `#4E96CC`）**；原版三钮的分段读数 = `R>40` 分段（(783,901)/(936,1054)/(1088,1206)@1242）；图元搜索 = `策划/原版UI素材索引.md`（914 帧画貌表）；实现 = `DeckEditPanel.BuildBottomRow()`。	① 第 ① 颗（放大镜）**已经是原版图元** `ResPaths.IconSearch`（`ui_out` 279）⇒ 无需消除；② ②③ 的图标要等对应的功能（卡组视图 / 菜单）做出来、或找到原版帧；③ 剩余差异（图标用文字）**不消除**（只作说明）。
D154	✅ **已消除（默认版式）**：本工程自己加的两处"开发信息"**原版 07 上没有** —— ① 卡阵上方的「已选 N/8」标签（原版那条 40 高的空白带**是空的**）；② 屏幕**最下沿的状态行**（原版最下沿是宣传插图的画面本身）。★ 修法：新增 `private static readonly bool ShowDevChrome = false;` 总开关，把这两件从**默认版式**里摘掉；`SetStatus()` 的**调用点一个没删**（都有 null 守卫），改回 `true` 即恢复。	用户 2026-09-24 第 10 条「你的UI都不是原版UI啊」—— 原版没有的东西不该默认出现在屏幕上；但本工程确实需要"上一步的结果"这类反馈给玩家 ⇒ 代码保留、默认不建，而不是删掉能力。	量取 = `策划/参考图/几何量取.md` §1.4（卡阵上方 40 空白带为空）+ §1.6.6 E58（原版铺到图最下沿，无状态行）；实现 = `DeckEditPanel.Build()` 的 ④ 与 ⑨ 两段（`if (ShowDevChrome)` 守卫）。	已消除（2026-09-24）：两条都从默认版式摘掉。⚠️ 编译口径注意：这个开关**必须**写 `static readonly`，写成 `const` 会因编译器折叠成恒假而报 2 条 CS0162（本轮实测）。
D155	⚠️ **部分复刻（卡组编辑页 · 页签底）** —— **改前**：页签底是 `CreateBoxRect` 的**纯色直角色块**+ 一条 6 高的顶边；**改后**：底 = `CrUiStyle.Skin(name, _content, CrUiStyle.TabCornerArt, CrUiStyle.TabCornerSize, Vector4.zero, ..., TabOnTint/TabOffTint)` = **原版 `ui_out` 447（88×91 左上圆角件，圆弧 23px）的四角镜像九宫格**（`MakeRounded`，**一个像素都不是自造的**）+ **实测 tint**（447 内填色与 166 逐像素相同 (76,172,255) ⇒ tint 分母未变）；顶线按**两态分开**：选中 = 亮线 3.5 高 `#21C2E3`（E66）、未选中 = 暗带 10.4 高 `#031A4A`（E67）。**残留差异三条（如实登记）**：① 圆角（**已用 447 解**）：换成 `ResPaths.ButtonBlueCornerBig`（`ui_out` **447**）+ `CrUiStyle.TabCornerSize=24` ⇒ 实机 `TabDecks/TabCollection sprite=Rounded:frame_447_0 type=Sliced`，圆角 **23@1080 = 26.5@1242**，与参考图 25@1242 差 **+1.5px**（在 ±5px@1242 容差内）；② 页签底**没有竖向渐变**（原版顶部 `#33A6D5` → 底部 `#0C64AC`），本工程是**单色** = 页签均值 `#217CC1`；③ 顶区纹理（**已用 276 解**）：`CrUiStyle.Backdrop("TopBackdrop", ..., ResPaths.MenuBackdropTile, ...)` = `ui_out` **276** 裁到 192×192 周期 + `Image.Type.Tiled` + `BackdropTint` ⇒ 实机 `sprite=frame_276_0 tex=frame_276(192x192) type=Tiled color=(0.074,0.324,0.652)`（逐值 = `BackdropTint`）。	① 圆角已用 447 解（本工程用单件 + 四角镜像，非原版的「6 件拼接」；实机 23@1080 = 26.5@1242 vs 参考 25@1242，差 +1.5px 在 ±5px 容差内）；② **竖向渐变仍缺**：本来该由 265 提供，但实测它不能直接用（已登记 `ResPaths.TabGradientStrip`、`ResPaths.TabEdgeH`/`TabEdgeHAlt`，三件均**未接线**）：265 是 1×40 渐变条（`ui_out` 265 的 PNG 头实测 = 1×40（宽×高）；`cm-drive` 的 `Resources.Load` 读数 = `tex=frame_265 1x40`），剖面**有"膝"**（前 17 格平直 `#4EAFFF` → 10 格内陡降到 `#0055A9` → 末 4 格透明），与参考图页签的**平滑**剖面不符（逐行 tint 比值在 0.51~1.24 之间摆动， 判据 M1）⇒ 铺它比不铺**更错**，⛔ 不采用；③ 顶区纹理：`UI_menu_background`（export #377）的 `frame_NNN` 列是 `—`（无显式子件引用）⇒ 与页签同理**定位不到**，⛔ 不猜帧。	量取 = `策划/参考图/几何量取.md` §1.6.8 **E65（tint 分母 = 166 内填像素 (76,172,255)）/ E66（顶亮线 y27..y30 = 4px@1242，色 (33,194,227)）/ E67（未选中顶部暗带 y27..y38 = 12px@1242，色 (3,26,74)）/ E68（页签圆角 25@1242）/ E69（底行钮板：圆角 25@1242、深边 `#002075` 4px、顶亮线 `#62B4E2`、填充 `#4E96CC`）/ E70（六件实测剖面）**；判据资产 = （逐像素证明 266/267 == 166 内侧行尾段 Δ=5、而 265 **不是**独立于它的平直尾段 Δ=58）、（**反向断言**：证伪"用 265 铺渐变"）、（三处部位 G/B 比值一律 ≤0.90 ⇒ 参考图与图集是**同向**色偏 ⇒ "原版图元 + 实测 tint"这条口径成立，反控 = 166 对自己的比值 1.000）、（页签带并排图 `.ai-tmp/test/D155-tabband-cmp.png`）；离屏构造复刻 = 的 `mirror9()`（按 `MakeRounded` + `Image.Type.Sliced` 逐行同口径）；实现 = `DeckEditPanel.BuildTab()` / `TabOnTint` / `TabOffTint` / `TabEdgeH` / `TabOffEdgeH` / `TabOnEdgeColor` / `TabOffEdgeColor`。	① 圆角：要拿到**圆弧更大**的左上圆角件（或拿到 `full_page_button_tab` 的显式帧引用）；② 竖向渐变：需要一件**剖面与参考图一致**的渐变条（265 已被实测排除）；③ 顶区纹理已用 276 解（`ResPaths.MenuBackdropTile` + `CrUiStyle.Backdrop` + `BackdropTint`；实机 Tiled 192×192）。⛔ 三条都不许用"猜帧 / 拿别的帧冒充 / 从截图抠图"来消除。
D156	**素材导入设置**：cr 的 **14325 张 `*.png.meta` 全部是 Unity 默认导入设置**（`filterMode: 1` Bilinear / `textureCompression: 1` 压缩开 / `spritePixelsToUnits: 100`），本项目**有意不接**引擎的 `PixelArtImport*` 自动导入件	对 CR 而言**默认设置就是对的**：素材是 Supercell **高清手绘**（帧画布 187×181、屏上约 60 px 显示），**不是像素画** ⇒ Bilinear 才是正确过滤。⛔ **不要接引擎件的三条理由**：① 引擎件是给**像素画**下沉的（`Filter = FilterMode.Point` + `Uncompressed = true`），换上去会**锯齿闪烁**；② 关压缩会让 **14325 张 PNG 的显存 / 包体显著上升**；③ **致命**：`PixelArtImportSettings.ImportMode` 是**全局单值** `SpriteImportMode.Single`，而竞技场与塔是**多子精灵**目录（`.meta` 里 `spriteMode: 2`）⇒ 一旦被规则命中就会把切图改成 Single，**竞技场 + 6 座塔整片坏掉**	实测（本轮独立复核）：`client/Assets/Resources/**` 下 `*.png.meta` = **14325** 个，`filterMode: 1` = **14325/14325**；样例 `client/Assets/Resources/Sprites/Arenas/arena_training_out/frame_000.png.meta` 内 `spriteMode: 2`、`alignment: 0`；多子精灵计数：竞技场 **23 PNG → 25 Sprite**、塔 **214 → 236**。引擎侧 `Editor/PixelArtImportSettings.cs`（`ImportMode` 全局单值）；判据来源 §2-8 与 §3-8（原盘点多，本轮复核后采纳）	⛔ **不消除（有意保留）**：只要 CR 仍是"高清手绘素材 + 多子精灵目录混居"，默认导入就是正确口径。⚠️ 将来若引擎把 `ImportMode` 改成 **per-rule**（引擎缺口 E-10）后再重新评估；在那之前 ⛔ **任何"顺手统一导入设置"的改动都不许做**，⛔ 更不许动任何一张 `.png.meta`
D157	⚠️ **已知不一致（待同步，非运行缺陷）**：`server/game/table/base/base_unit.go` 是**旧生成物** —— 它仍是旧模板的 `r.TrimLeadingSpace = true`，**未随新生成器模板重新生成**；而同目录的 `base_table.go` / `base_card.go` / `base_spell.go` 已同步为新模板（按列名取值 + 三类 fail-fast）	**根因（本轮实测，出处见右列）**：`unit_cs-pack.xlsx` 停在 **Sep 21 21:19**、只含 **37 列**，而仓库里的 `unit.tsv` / `unit_cs.txt`（**Sep 23 23:37**）已有 **40 列**（多出 `spawn_stagger_ms` / `jump_height_mt` / `jump_speed`）⇒ 有人给 txt/tsv 加了 3 列但**没有 repack**。⇒ **若照搬新生成物会把 `BaseUnitRow` 的 3 个字段静默删掉**（这是"看起来同步了、实际丢列"的静默失效）⇒ **保留旧文件比"重建"更安全**	旧写法：`server/game/table/base/base_unit.go`（`TrimLeadingSpace`）；已同步：同目录 `base_table.go` / `base_card.go` / `base_spell.go`；列数来源 `server/game/table/tsv/unit.tsv` 与 `策划/数值文档/unit_cs.txt`（各 40 列）vs `unit_cs-pack.xlsx`（37 列、mtime Sep 21 21:19）；生成器脚本头注（`-Force` 会重打 `-pack.xlsx`）。⚠️ **本行为登记项，未由本片独立复核**（本轮为纯文档登记，⛔ 未跑任何校验命令）；备注：该文件当前是**死代码**（`grep "game/table/base"` 在 cr 全仓 **0 命中**；cr 运行时用自己手写的 `server/game/table/tsv.go`）	**消除条件**：策划重打 `unit_cs-pack.xlsx`（含 40 列）**之后**，再跑一次生成器同步 `base_unit.go`。⛔ **本轮不跑 `table.ps1 -Force`**：脚本头注明 `-Force` 会重打 `-pack.xlsx`，若策划在 xlsx 上直接改过数据就会被**覆盖**（不可逆操作）
D158	⚠️ **缺陷（卡组编辑页 · 切页后页签选中态不更新）**：`DeckEditPanel.SetTab()` 只切卡池 / 宣传区的可见性（`_poolScroll` / `_poolLabel` / `_bannerLayer` 的 `SetActive`），**不重染页签** ⇒ 切到 Collection 页后 `TabDecks` 仍是**选中态** tint、`TabCollection` 仍是**未选中态** tint。实机读数（cr-machine，2026-09-25 12:41 帧 `AX1-01-deck-open.png` / `cr-machine-A2-collection.png`，1080x1920）：`page=Collection` 时 `TabDecks color=(0.434,0.705,0.757)` = `TabOnTint`、`TabCollection color=(0.158,0.313,0.380)` = `TabOffTint`，与 `page=Decks` 时**逐值相同** ⇒ 切页前后无变化。原版是当前页高亮。	两态 tint 是**建面板时一次性**传给 `CrUiStyle.Skin(...)` 的（`DeckEditPanel.BuildTab()`），`SetTab()` 里没有回写 `Image.color` 的分支 ⇒ 切页只换了下半屏内容，页签看起来还停在原来那一页，玩家分不清当前在哪一页。	`client/Assets/Scripts/UI/Panels/DeckEditPanel.cs:896`（`SetTab()` 全体 = 3 处 `SetActive` + 一条 `TAB-SWITCH` 日志）；该文件 `OnDecksTabClicked()` / `OnCollectionTabClicked()`（各自只调 `SetTab()` + `SetStatus()`，无 tint 回写）；两态口径 = 几何量取 **E66**（选中亮线 `#21C2E3`）/ **E67**（未选中暗带 `#031A4A`）与 D155 的 `TabOnTint` / `TabOffTint`；实机读数来源 = `.ai-tmp/test/cr-machine-live.txt`（驱动 `.ai-tmp/drivers/cm-drive.cs` 的 `Img()` 输出）。	按两态重染：切页时把 `TabDecks` / `TabCollection` 的 `Image.color` 置回对应 tint，并**实机复核**（切到 Collection 后 `TabDecks` 应为 `TabOffTint`、`TabCollection` 应为 `TabOnTint`）。修 + 复核由 cr-battle 片先修再采（本片不修）。✅ **已消除（cr-battle，2026-09-25 13:24:43/13:24:45 两次实机读数一致）**：`BuildTab()` 现在把两颗页签的底块 `Image` 与顶线 `Image` + 宽度存进 `_tabDecksBlock/_tabDecksEdge/_tabCollectionBlock/_tabCollectionEdge`（+`_tabDecksW/_tabCollectionW`），新增 `RestyleTabs()` / `ApplyTabStyle()` 按页重染（选中 = `TabOnTint` 底 + `TabEdgeH`=3.5 高 `TabOnEdgeColor`；未选中 = `TabOffTint` 底 + `TabOffEdgeH`=10.4 高 `TabOffEdgeColor`），在 `SetTab()` 末尾调用。实机读数（驱动 `.ai-tmp/drivers/crb-tabs.cs`，日志 `.ai-tmp/test/crb-tabs-live.txt`）：`page=Decks` ⇒ `TabDecks color=(0.4342,0.7045,0.7569) size=418.3x3.5 顶线(0.1294,0.7608,0.8902)` / `TabCollection color=(0.1579,0.3125,0.3804) size=394.0x10.4 顶线(0.0118,0.1020,0.2902)`；`page=Collection` ⇒ **两态整体互换**：`TabDecks color=(0.1579,0.3125,0.3804) size=418.3x10.4 顶线(0.0118,0.1020,0.2902)` / `TabCollection color=(0.4342,0.7045,0.7569) size=394.0x3.5 顶线(0.1294,0.7608,0.8902)`；断言 `ASSERT tabB(collection selected) TabDecks==TabOffTint && TabCollection==TabOnTint ok=True`。⇒ 两态在**底色与顶线高度上都不同**，切页后页签不再停在原来那一页。 ⚠️ **残余（fx-hud，2026-09-26 新查并已修）**：上面那版只修了**点击路径** —— 「**打开即显示卡池页**」这条路上仍是错的：两态 tint 是 `BuildTab()` **一次性**传给 `CrUiStyle.Skin(...)` 的，而图元**异步**到货（冷路径晚 1 帧，= D176），`CrUiStyle.Dress` 的回调会把 `image.color` 写回**建件时收到的那个 tint**（同一机制在本文件 `ApplyFrame` 上方注释里已登记）⇒ `Build()` 末尾 `SetTab(Collection)` 先染对的「Decks=未选中 / Collection=选中」会在**下一帧**被刷回「Decks=选中 / Collection=未选中」，且**一直错到玩家点一次页签**（与 D158 原始读数 `page=Collection` 时 `TabDecks`=(0.434,0.705,0.757) 逐值对上）。**修法** = `OnUpdate` 加 `KeepTabStylePinned()`：逐帧按当前页应有的 tint 比对两颗底块、**不一致才**整组重染（幂等；`ApplyTabStyle` 是这两块 `color` 的唯一写者，按钮高亮/按下走 uGUI 的 **CanvasRenderer** 过渡、不写 `Image.color` ⇒ 不打架）。**实机读数**（驱动 `.ai-tmp/drivers/fxdeck-probe.cs`，读数前先断言当前页 = 反射读 `DeckEditPanel._page`）：打开即读 `page=Collection` ⇒ `TabDecks color=(0.1579,0.3125,0.3804)`=`TabOffTint` / edge 高 **10.4**、`TabCollection color=(0.4342,0.7045,0.7569)`=`TabOnTint` / edge 高 **3.5**；点 `TabDecks` 后 `page=Decks` ⇒ 整体互换；再点 `TabCollection` ⇒ 又换回（三态全对）。**机制实证**：控制台 `[Deck] TAB-REPIN page=Collection` **恰好 1 条**（02:38:54.303 = 首次打开）；第二次打开 **0 条**（`RoundCache` 命中 ⇒ `Dress` 同帧贴图、tint 从不被覆盖）。文件 = `client/Assets/Scripts/UI/Panels/DeckEditPanel.cs`；证据 = `.ai-tmp/test/fxdeck-live.txt` / `fxdeck-console.txt` / `fxdeck-console2.txt`（读数摘录见 `.ai-tmp/test/fx-hud-report.md` §7.1）。 同一文件另含 `fx-menu` 的 `对照表 U18` 修法（顶边统一 `TabTopY=23.5` / `TabH=113.0`、两签高差归 0，出处 **E25**），与本次两态染色**互不影响**。
D159	**缺陷（卡组编辑页 · 真指针手势）**：把卡池里的卡**按住拖到卡阵**上时落位判定认不出卡阵 —— 真人拖进去**没有反应**（日志 `[Deck] DRAG-CANCEL …（松手不在卡阵上）`）；卡阵内的卡拖到另一格会被判成“拖出卡阵”而**直接移除**。面板自带的拖放自检同时恒报 `[Deck] DRAGPATH-SUMMARY … verdict=FAIL`（点名 `Popup/PopupMask`）。	两处独立成因：① `HitTestSlot` 把 `RectTransformUtility.ScreenPointToLocalPointInRectangle` 的返回值（**绕面板根轴心**的局部坐标）直接与 `_slotX0/_slotYTop` 口径的格中心（**以左上角为原点、y 向下为正**）相比，二者恒差 (半宽, −半高) —— 实测 `pivot=(0.50,0.50)` / `pivotShift=(540,−960)` / 8 个格中心一律 `HitTestSlot=-1`，把落点平移 (+540,−960) 后恰好逐个返回 0..7；② 自检与图元进层级**同帧**跑（面板刚建、卡池刚 `SetActive(true)`），此刻 `Graphic.depth == -1`，被 uGUI `GraphicRaycaster` 跳过（包源码 `GraphicRaycaster.cs:316`「-1 means it hasn't been processed by the canvas」）⇒ 命中的是“上一个有合法 depth 的图元”，**PopupMask 是被接住的那一个、不是遮挡元凶**（下一帧 mask depth=20，卡池卡 depth=89..104，卡在 mask 之上）。	`client/Assets/Scripts/UI/Panels/DeckEditPanel.cs`（`HitTestSlot` / `VerifyDragPath` / `RequestDragPathCheck`）；实机读数 `.ai-tmp/test/crd-drag-live.txt`	**已消除**（本次实机三个读数）：① 修复后 `H Slot0..7 Hit(center)=0..7`、`Hit(center+shift)=-1`；② 真指针手势 `RealDrag(卡池 idx=3 → 卡阵格 7)` 落位成功（`ASSERT realDragPoolCardIntoGridSlot ok=True`）、`RealDrag(卡阵格 7 → 卡阵外)` 移除成功；③ 面板自检 `[Deck] DRAGPATH-SUMMARY checked=8 ok=8 blocked=0 offViewport=0 verdict=PASS` 与 `checked=12 ok=12 blocked=0 offViewport=56 verdict=PASS`（自检改为跨帧执行后）。回归口径 = 开面板 / 切卡池页各看一条 SUMMARY，判据仍是 `checked == ok`（判据本体未放宽）。
D160	⚠️【客户端+服务端两半均已消除】人机对局入口：① 客户端发 MsgAiBattleStart 后等 PushBattleStart 的闸加了 8s 超时放闸（实测丢推送时 8.02s 自动放闸、闸序号不变才放 ⇒ 推送若已接手或已换新闸都不受影响，读数见出处）；② 服务端那半根因已定位并已在本工程侧修：网关按 "p:"+角色ID 路由推送，而这条索引只在逻辑服发出 GWControlBind 时才建立（Ctx.SetPlayerID 内部，同一连接登记过就不再发）⇒ PushToPlayer(角色ID) 被静默丢弃、回包正常；现改为按**账号维度**寻址（server/game/logic/player.go 的 pushTarget = 去掉 p_ 前缀），8 个推送点全改	两处叠加：① 服务端这一路开打推送丢了或送错会话 —— 同一账号在本次会话里刚重连过（服务端 14:13:42 新绑 conn c-6），紧接着 14:13:43 的请求只回了 reply-ok；② 客户端 AppFlow._aiBattleInFlight 闸只在收到 PushBattleStart 时释放（AppFlow.cs:114-119 的说明 + :922-927 的 DUP-DROP 分支），**没有超时 / 失败放闸**；而 EditorSettings 的 m_EnterPlayModeOptionsEnabled 关掉了域重载 ⇒ 静态单例 AppFlow.Instance 连同闸一起跨 Play 存活（同口径见 DeckManager.cs:84-93 的注释）。两者叠加才表现成「彻底进不去」：单看任何一个都只是短暂失败　【服务端那半的根因（已定位，引擎侧）】引擎只把「按角色 ID 推送」的索引建立在逻辑服发出 GWControlBind 之时（clover-server-engine 的 Ctx.SetPlayerID，internal/transport/event/ctx.go:181-208），而该函数**先**写 connBag["player_id"]、**后**判下行链路（ctlPub/ctlSubject 未就绪时静默跳过发布）；之后每次调用又因 ConnValue("player_id") 已等于该值而早退（:187）⇒ 一条连接只要有一次调用落在「链路未就绪 / 会话尚未在网关建立」的窗口里，就**永远不会**补发 GWControlBind，网关侧只剩账号维度（"a:"）索引。网关 defaultRouter（gwcore/session.go:1025）先查 "p:"+target、命中即返回（不回落到 "a:"）；查不到时 onNotify 既不推也不报错 ⇒ 完全静默。判据：服务端日志里缺 "added extra idIndex key p_cr_cli for conn c-X" 的会话，其后续推送全丢（本机全天 25 个会话一一对应）	client/Logs/2026-09-25.log：通 = 10013+10017（13:59:15 推送+回包）/ 13538+13540（14:06:38）/ 18492+18494（14:12:32）；断 = 18743（SEND MsgAiBattleStart）+ 18745（reply-ok）之后**再无任何开打推送行**；卡闸 = 19292..19356（14:17:09~14:17:34 连续 DUP-DROP(gate)）；恢复 = 19424/19426/19438（14:21:51 重置闸 + 全新连接后推送到达）；对局 5 于 21701（14:24:51）正常结算。服务端 server/logs/2026-09-25-all.log：1160-1165（14:13:42 login ok + 绑定 conn c-6）、1166-1167（14:13:43 对局开打 room=r1790316823761-4，之后 AI 一直出牌成功）⇒ 服务端侧对局真的在跑，缺的只是到客户端那一条推送；14:21:51 前「点不动」的彻底卡死症状已由超时放闸消除（每次请求真的发出、可反复重试）；14:13:43~14:21:50 的旧读数见上；本轮 cr-finish 实测（client/Logs/2026-09-25.log）：14:34:36.043 请求 → 14:34:44.063 `[AiBattle] gate=RELEASE reason=PushBattleStart 超时未到，放闸允许重试` + 14:34:44.064 `[Warn] [AiBattle] gate=TIMEOUT 回包已 ok 但等 PushBattleStart 已 8s 仍未到 ⇒ 已放闸，可重新发起对局`（实测 8.02s）；14:34:47.899 重发真的发出（日志里 SEND MsgAiBattleStart 计数 21 → 22，delta=1）→ 14:34:55.936 再次超时放闸；14:34:59.802 第三次请求收到推送（gate=RELEASE reason=PushBattleStart 已接手进图 + 场景 Battle01 加载完成）⇒ 正常路径未被破坏；服务端那半复现证据：server/logs/2026-09-25-all.log 14:42:12.980 `对局开打 room=r1790318532980-19` 且 14:42:15.981 起 AI 出牌成功，而客户端同一时刻只有 HOLD/SEND/reply-ok 三行；自注册探针 .ai-tmp/test/crf-pushspy-live.txt（hits 始终 (none)）　服务端那半的判据证据（server/logs/2026-09-25-all.log）：绑定行 "gwcore: bound conn c-X -> cr_cli (reconnect=…)" 每次登录都有（25 个会话全有），而 "gwcore: added extra idIndex key p_cr_cli for conn c-X" 只在部分会话出现；推送失败的会话（13:07:24 c-9 / 13:10:20 c-15 / 13:24:38 c-24 / 13:37:13 c-33 / 13:46:58 c-39 / 13:52:43 c-42 / 13:54:51 c-45 / 14:13:42 c-6 / 14:40:51 c-18）**全部缺**这一行，推送正常的会话（14:21:30 c-9 / 14:31:38 c-12 / 14:34:33 c-15 / 14:50:15 c-3 等）**全部有**；本片重启后 14:50:15 绑定 c-3 紧跟 14:50:15.138 added extra idIndex key p_cr_cli for conn c-3 ⇒ 14:50:17 与 14:54:02 两局客户端都收到了 PushBattleStart（进图、部署、量测均成功，读数 .ai-tmp/test/crf-scale-live.txt）。全日志无 "notify push" / "unknown connID" 行 ⇒ 推送不是发送失败，是压根没有目标。	两半均已消除：① 客户端 = AppFlow.cs:79 的 AiBattlePushTimeoutSeconds=8s + AppFlow.cs:1006 ReleaseGateOnPushTimeoutAsync（超时放闸并打 Warn），放闸只放自己那一闸（AppFlow.cs:136 _aiBattleGateSeq）；② 服务端 = server/game/logic/player.go 的 pushTarget（角色 ID → 账号）+ battle.go:126/222/231/259、room.go:832/842/866、logic.go:100 全部改按账号维度寻址（账号索引由网关在每条登录回包上重建，不依赖角色索引）。引擎侧根因未改（⛔ 不改引擎源码）：引擎自身按角色 ID 的推送（自动实体同步 / PlayerFullSync）在这些会话里仍会丢，已在 引擎问题.md 的「引擎 bug」段登记根因与三条建议
D161	登录界面多出一个提示框（框内小字「请输入账号与密码」），占位而不提供任何信息	用户第 1 条：「这个多余的黑框是干什么的，用户不知道输入账号密码? 纯属脱裤子放屁」	用户原话	✅ 已消除：无消息时不显示状态条（条与字同生同灭），并删掉预填的「请输入账号与密码」；失败原因仍可见（判据 = 离线编译 0 error + Play 中 Login 站点正常打开）。
D162	设置页的「画质」与「全屏」两项是否**真的起作用**（若无效则应删；用户要求整个设置页精简）	用户第 2 条：「设置里画质/全屏有用吗？没用就删了！！！我感觉整个设置都没啥用」	用户原话	✅ 已消除：**删掉「画质」与「全屏」两项**（全屏有直接写 Screen.fullScreen 的对照实测：编辑器 Play 下 nativeSetterWorks=False）；音量两项有实证保留（→ Game.Sound.SetVolume）。运行时判据 SettingsBox=True / FullscreenButton=False / QualityNext=False（删行前同一断言是 True ⇒ 非恒假绿）。
D163	打开「卡组编辑」默认落在**不可编辑的 Decks 页**（只看到宣传区），而不是能拖卡的卡池页	用户第 3 条：觉得 Decks 页没用，要求默认就是卡组编辑	用户原话	✅ 已消除：默认页改为**可编辑页**（Collection），实机 `[Deck] TAB-SWITCH page=Collection poolVisible=True bannerVisible=False`；页签按原版保留（裁决）。
